,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
0,1099572126704,Vernance Supply Factories,ce5hg.wam,3wura.wam,ce5hg.wam,True,2021-10-31,6.3,https://ipfs.atomichub.io/ipfs/https://wrskn.io/001/promo/229,warsaken,warsaken,0.05
1,1099562635116,Burger,tmure.wam,35vfy.wam,tmure.wam,True,2021-10-31,71.35,https://ipfs.atomichub.io/ipfs/QmV9uiUHBX9J96LZbs45Q7mEowAGs8vsfZhvGBULzXqTCV/Back/back.png,bigboy.funko,bigboy.funko,0.06
2,1099565957646,Photo 115,i1.2y.c.wam,wjyay.wam,cfvr4.wam,True,2021-11-13,1232.64,https://ipfs.atomichub.io/ipfs/QmZ8K2npx16HQjaLuTf6gjevqLK9kkvhJuKgcBcrBTpGPJ,centurytrain,centurytrain,0.08
5,1099537315647,Standard Capacitor,z.xbi.wam,2sgxc.wam,z.xbi.wam,True,2021-10-31,0.5,https://ipfs.atomichub.io/ipfs/QmaFe19mLD911BfZWn2tvEN7Ea8xjdirnQQRisUGGBzBPb,alien.worlds,federation,0.01
7,1099549615448,Inflatable Laboratory,uzzhs.wam,m1dra.wam,uzzhs.wam,True,2021-10-31,1.68,https://ipfs.atomichub.io/ipfs/QmRYErT7SjjtUaGyRBPfZA7BAJzPM5RWrq747QDeumzF4t/main/inflatable-laboratory/standard/front.jpg,colonizemars,colonizemars,0.08
10,1099549676827,Inflatable Sleeping Pod,fxxtu.wam,m1dra.wam,fxxtu.wam,True,2021-10-31,1.68,https://ipfs.atomichub.io/ipfs/QmRYErT7SjjtUaGyRBPfZA7BAJzPM5RWrq747QDeumzF4t/main/inflatable-sleeping-pod/standard/front.jpg,colonizemars,colonizemars,0.08
11,1099532330218,Scouting Drone,xv4au.wam,dbrri.wam,xv4au.wam,True,2021-10-31,4.2,https://ipfs.atomichub.io/ipfs/Qmf5EbvN8D7XMAwd7Do3DMFyuLD5ANygdmY4JUReZNdfZm/main/scouting-drone/shadow/front.jpg,colonizemars,colonizemars,0.08
16,1099517965719,Wendigo,ydjl4.wam,frzau.wam,ydjl4.wam,True,2021-10-31,115.42,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/ExodusCards/ThreeSlots/wendigo3s.png,darkcountryh,darkcountryh,0.05
17,1099535272623,Earth,burn.kogs,f5tdi.wam,burn.kogs,True,2021-11-15,1.49,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-85-2-22-0_front.png,kogsofficial,kogsofficial,0.06
23,1099573581600,Standard Shovel,ivandurakxxx,4mdee.wam,mcjr4.wam,True,2021-10-30,0.02,https://ipfs.atomichub.io/ipfs/QmYm1FG7LxhF3mFUaVmVEVqRztEmByVbHwL6ZWXwVY2dvb,alien.worlds,federation,0.01
25,1099573268657,Stable,bmgvu.wam,rrwb.wam,41xhs.wam,True,2021-10-31,419.29,https://ipfs.atomichub.io/ipfs/QmWTHpaVKYACfa2DmVLrocSfNx7bh8B1nmKgX2CkLr3Dqb,farmingtales,farmingtales,0.05
28,1099535272624,Kappuru,burn.kogs,f5tdi.wam,burn.kogs,True,2021-11-05,0.29,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-139-1-23-0_front.png,kogsofficial,kogsofficial,0.06
30,1099572526404,Freddy Funko Mr. Hyde Pop!,mwprg.wam,1uxfw.wam,qgzpa.wam,True,2021-10-31,19.12,https://ipfs.atomichub.io/ipfs/QmeTK7t2JHUuXVGQh3TX5dUXh7dNUg1JoT7BYd83ZoQcb5/Back/back.png,freddy.funko,freddy.funko,0.06
40,1099563338285,Höfuo,ihwfo.wam,r14uu.wam,ismxo.wam,True,2021-10-31,6.3,https://ipfs.atomichub.io/ipfs/QmWK8ebZjgcRFfWTyk4do23uFTUGUn6bx7KjxGjNZSqXrQ,midgardclash,midgardclash,0.05
41,1099535272626,Gale,burn.kogs,f5tdi.wam,burn.kogs,True,2021-11-10,0.63,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-56-26-35-0_front.png,kogsofficial,kogsofficial,0.06
45,1099529764540,Stress Test Pack,hm5.e.wam,5oirk.wam,hm5.e.wam,True,2021-10-31,0.42,https://ipfs.atomichub.io/ipfs/QmYDGQPoWyndkAaEjAzZ1gutuKQCmrkQd2gfx6siqHhatq/Beta_Test_Pack_.png,weezer,weezer,0.06
47,1099572406923,Freddy Funko Retro Vampire,uouea.wam,1hzfu.wam,lh3b.wam,True,2021-10-30,1.63,https://ipfs.atomichub.io/ipfs/QmeTK7t2JHUuXVGQh3TX5dUXh7dNUg1JoT7BYd83ZoQcb5/Back/back.png,freddy.funko,freddy.funko,0.06
48,1099571728738,Phase 1: Emergence Sticker,ijnby.wam,4wxbk.wam,ijnby.wam,True,2021-10-31,0.18,https://ipfs.atomichub.io/ipfs/QmZM1BMzaVUPBN4Z8KuehFGVCBij1749R4xP23VhdSofoV,starshipnfts,starshipnfts,0.05
49,1099573487088,Standard Pack,lbaba.wam,uidho.wam,lbaba.wam,True,2021-10-31,9.65,https://ipfs.atomichub.io/ipfs/QmTisSXq5DzYk6ThvwWQWZxSEWaRP9UGJYhCWNPDggnkcp,apocalyptics,kinak.wam,0.08
51,1099535272627,Rasha,burn.kogs,f5tdi.wam,burn.kogs,True,2021-11-09,0.49,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-102-1-35-0_front.png,kogsofficial,kogsofficial,0.06
54,1099549508741,Male Engineer,ah1b4.wam,m1dra.wam,ah1b4.wam,True,2021-10-31,1.68,https://ipfs.atomichub.io/ipfs/QmRYErT7SjjtUaGyRBPfZA7BAJzPM5RWrq747QDeumzF4t/main/male-engineer/standard/front.jpg,colonizemars,colonizemars,0.08
55,1099549571550,Male Scientist,ah1b4.wam,m1dra.wam,ah1b4.wam,True,2021-10-31,1.89,https://ipfs.atomichub.io/ipfs/QmRYErT7SjjtUaGyRBPfZA7BAJzPM5RWrq747QDeumzF4t/main/male-scientist/standard/front.jpg,colonizemars,colonizemars,0.08
56,1099549588436,Female Scientist,uzzhs.wam,m1dra.wam,uzzhs.wam,True,2021-10-31,2.1,https://ipfs.atomichub.io/ipfs/QmRYErT7SjjtUaGyRBPfZA7BAJzPM5RWrq747QDeumzF4t/main/female-scientist/standard/front.jpg,colonizemars,colonizemars,0.08
60,1099572536614,Freddy Funko Werewolf Soda,uouea.wam,1hzfu.wam,lh3b.wam,True,2021-10-31,1.89,https://ipfs.atomichub.io/ipfs/QmeTK7t2JHUuXVGQh3TX5dUXh7dNUg1JoT7BYd83ZoQcb5/Back/back.png,freddy.funko,freddy.funko,0.06
65,1099550174313,3D Printing Robot,qs2sm.wam,kirogast1212,dsaxw.wam,True,2021-10-31,443.12,https://ipfs.atomichub.io/ipfs/QmRYErT7SjjtUaGyRBPfZA7BAJzPM5RWrq747QDeumzF4t/main/3d-printing-robot/dark-matter/front.gif,colonizemars,colonizemars,0.08
67,1099572537468,Freddy Funko Zombie Pop!,uouea.wam,1hzfu.wam,lh3b.wam,True,2021-10-31,2.1,https://ipfs.atomichub.io/ipfs/QmeTK7t2JHUuXVGQh3TX5dUXh7dNUg1JoT7BYd83ZoQcb5/Back/back.png,freddy.funko,freddy.funko,0.06
71,1099536925668,Crypto Horrors Flier,oeuim.wam,szqb4.wam,xtyrg.wam,True,2021-10-31,0.16,https://ipfs.atomichub.io/ipfs/QmWSfUjq7B2k4ZkeitqPtPmNaPnaSifK2Sx5SgHS8ydNBn,ultrarare,ultrarare,0.08
73,1099558424249,Metalhead,kwgxq.wam,za.fu.wam,kwgxq.wam,True,2021-10-31,1.05,https://ipfs.atomichub.io/ipfs/QmTU6V3JWWZUksxxqPG7YWX7MTvi6fScXKxW76CDcXAKSF/IPFS-TMNT/Back/back.png,tmnt.funko,tmnt.funko,0.06
81,1099572929318,Villager,netvw.wam,415bc.wam,5jvay.wam,True,2021-10-31,100.73,https://ipfs.atomichub.io/ipfs/QmV3esp7n1Cy4paipkLyTWTgUFCVFbZzx155hP3kEkP2jB,zombiecoinzz,fd3u.wam,0.05
82,1099519018891,Standard Drill,1kry.wam,afdfg.wam,1kry.wam,True,2021-10-30,8.75,https://ipfs.atomichub.io/ipfs/QmVUZHpUkc3PuLkJ7BDvJ3S3AgDySjsqWQib1sVKziHCbS,alien.worlds,federation,0.01
90,1099573124690,Rabbit Greenprint,c4saw.wam,3d3rg.wam,c4saw.wam,True,2021-11-03,59.23,https://ipfs.atomichub.io/ipfs/QmXb2W4KfqQFf6vpMW1ACXzrGkWEwMBsaX8VdTr252GeMP,greenrabbit,greenrabbit,0.07
91,1099534832767,Confuser,.ckbk.wam,zh2ri.wam,.ckbk.wam,True,2021-10-31,1.25,https://ipfs.atomichub.io/ipfs/QmRcyzmjWAcXLi2uXPbzGCejw2yXndKVsQwmWEK1y5pMUR,alien.worlds,federation,0.01
92,1099543847922,\\tValara from Metalarin,.2fba.wam,zh2ri.wam,.2fba.wam,True,2021-11-01,0.02,https://ipfs.atomichub.io/ipfs/QmeQNdCAKL25opUTKSBfhmzNqtekFfMNSRJZQi3ChYNjS6,bitcoinbabes,bitcoinbabes,0.1
