,asset_id,name,owner,seller,buyer,burnable,date,price_usd,media,coll_name,coll_author,coll_market_fee
0,1099517901002,Sanders Cinema,2zdau.wam,x.cqw.wam,cbqr.wam,True,2021-03-02,5.6,https://ipfs.atomichub.io/ipfs/QmUkRt94GkTDUa2tTgTCDAm7xne2xYTpzSQizw5mJPf61y/base/1b.jpg,gpk.topps,gpk.topps,0.06
1,1099515866572,G (Build),c.zr4.wam,rprqy.wam,djjqw.wam,True,2021-02-28,0.39,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Build/34-G-Build.png,stf.capcom,capcom,0.06
2,1099515866580,Falke (Build),3jer.wam,rprqy.wam,3jer.wam,True,2021-02-28,0.42,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Build/32-FALKE-Build.png,stf.capcom,capcom,0.06
4,1099514382456,Hero Pack,xf.aw.wam,jtkay.wam,f1qre.wam,True,2021-04-16,250.73,https://ipfs.atomichub.io/ipfs/https://static.prospectors.io/packs/hero_pack.png,prospectorsa,prospectorsa,0.05
5,1099515866587,Poison (Build),5ayr.wam,rprqy.wam,aedb.wam,True,2021-02-28,0.42,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Build/38-POISON-Build.png,stf.capcom,capcom,0.06
7,1099515866615,Cody (Build),3jer.wam,rprqy.wam,3jer.wam,True,2021-02-28,0.42,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Build/33-CODY-Build.png,stf.capcom,capcom,0.06
10,1099518336168,Chun-Li (Pwr: 1),hytrg.wam,2.pr.wam,iiyb.wam,True,2021-02-28,0.24,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Base/2-Chun-Li-Base.png,stf.capcom,capcom,0.06
11,1099518317768,Food Fight! WinterCon 2021 Day 3 Pack,ktcqy.wam,trfr.wam,ktcqy.wam,True,2021-02-28,15.22,https://ipfs.atomichub.io/ipfs/QmUt1n6b5re5FhuP7dFj73BS57MGNBYPP3uZeTnvYDtiyN/FoodFightPackArt_WinterCon.png,gpk.topps,gpk.topps,0.06
13,1099517311814,Kage (Pwr: 5),s.rplanet,embaw.wam,xefqw.wam,True,2021-02-28,3.93,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Battle/39-KAGE-Battle-GIF.gif,stf.capcom,capcom,0.06
15,1099512020469,Re-Adventure Hero Pack,mweaw.wam,jtkay.wam,mweaw.wam,True,2021-04-21,60.89,https://ipfs.atomichub.io/ipfs/https://cdn.darkcountry.io/Heroes/adventurepack.png,darkcountryh,darkcountryh,0.05
19,1099515866614,Abigail (Build),ldbay.wam,rprqy.wam,hurricane.gm,True,2021-03-01,0.46,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Build/27-ABIGAIL-Build.png,stf.capcom,capcom,0.06
24,1099511657757,Atomic Adam,cllb2.wam,pndqu.wam,u.sqy.wam,True,2021-02-28,1.44,https://ipfs.atomichub.io/ipfs/QmZdWTzmmoBMVZc5DgLNt4MV6RHvkAuaUnrPvYLvTiFC3m,gpk.topps,gpk.topps,0.06
26,1099517774449,Poison (Pwr: 5),s.rplanet,2.pr.wam,xefqw.wam,True,2021-02-28,3.6,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Foil/38-POISON-Foil-GIF.gif,stf.capcom,capcom,0.06
34,1099515867069,Ibuki (Build),w5xay.wam,rprqy.wam,w5xay.wam,True,2021-02-28,0.3,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Build/20-IBUKI-Build.png,stf.capcom,capcom,0.06
35,1099512682417,Blockchain Heroes 2: First Strike,kbbbk.wam,pndqu.wam,g5yqw.wam,True,2021-02-28,0.18,https://ipfs.atomichub.io/ipfs/QmR5PB1MtsQ6dwkGSyN5rtenwAQSkKnjom4oPnJtLmT3xa,officialhero,heroes,0.06
36,1099516270513,Ed (Build),3jer.wam,rprqy.wam,3jer.wam,True,2021-02-28,0.42,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Build/26-ED-Build.png,stf.capcom,capcom,0.06
37,1099518234435,NEURAL NASIR,ofur.wam,kjgqu.wam,ofur.wam,True,2021-02-28,0.54,https://ipfs.atomichub.io/ipfs/QmYsf6Et9eGsY4jDkWrGdLNiGVQv4h15Cud42W8sqLD4QZ/common/15.png,monsters.r2,monsters.r2,0.08
38,1099517774086,Zeku (Pwr: 2),r2.pk.wam,2.pr.wam,r2.pk.wam,True,2021-02-28,1.2,https://ipfs.atomichub.io/ipfs/QmeSXAbzuDQDkwBhspzyj9Ltz5m58UcBypCLvjcDRg4eAT/Foil/29-ZEKU-Foil-GIF.gif,stf.capcom,capcom,0.06
40,1099513350327,B.B. Painting,nrfbtoystore,e43am.waa,kmg44.wam,True,2021-03-01,14.39,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Kog/no_foil/common/1-122-3-22-0_front.png,kogsofficial,kogsofficial,0.06
41,1099518339843,Bloody Barry,3ngqu.wam,e2cr.wam,3ngqu.wam,True,2021-02-28,0.64,https://ipfs.atomichub.io/ipfs/QmUt1n6b5re5FhuP7dFj73BS57MGNBYPP3uZeTnvYDtiyN/01_Base/Base_03b.jpg,gpk.topps,gpk.topps,0.06
43,1099513341368,Ancient Battle,snvau.wam,e43am.waa,snvau.wam,True,2021-03-03,24.56,https://ipfs.atomichub.io/ipfs/QmVw3fDskNRcxQweB9vRoo8W8PchiTjtzaATFuGVfY3WWS/Slammer/no_foil/common/1-162-25-23-0_front.png,kogsofficial,kogsofficial,0.06
44,1099518234513,ALTERED ADAM,s.rplanet,kjgqu.wam,zxzay.wam,True,2021-02-28,1.12,https://ipfs.atomichub.io/ipfs/QmYsf6Et9eGsY4jDkWrGdLNiGVQv4h15Cud42W8sqLD4QZ/rare/04.gif,monsters.r2,monsters.r2,0.08
45,1099518275944,Dawn Sword,cvnqu.wam,wsl.g.wam,cvnqu.wam,True,2021-03-06,2.75,https://ipfs.atomichub.io/ipfs/QmPBRF42tR2VVozFxUTHC6XUeXmxsM33reN3ZuRN8BFgyd,alien.worlds,federation,0.01
